TrisCalDate,tank,date,researcher,start_time,end_time,mV,TempInSitu,Salinity_lab,expected_pH,expected_temp
20240516,1,20240516,TD,13:02,13:56,-53.1,15.998,30,7.4,16
20240516,2,20240516,TD,13:02,13:56,-49.5,15.96,30,7.5,16
20240516,3,20240516,TD,13:02,13:56,-49.2,15.93,30,7.2,20
20240516,4,20240516,TD,13:02,13:56,-49,16.013,30,7.6,20
20240516,5,20240516,TD,13:02,13:56,-49.9,16.156,30,7.3,16
20240516,6,20240516,TD,13:02,13:56,-48.9,16.011,30,7.7,20
20240516,7,20240516,TD,13:02,13:56,-49.2,16.188,30,7.9,20
20240516,8,20240516,TD,13:02,13:56,-49.3,16.148,30,7.8,20
20240516,9,20240516,TD,13:02,13:56,-49.7,16.202,30,7.5,20
20240516,10,20240516,TD,13:02,13:56,-52.3,16.068,30,7.4,20
20240516,11,20240516,TD,13:02,13:56,-54.3,16.154,30,7.2,16
20240516,12,20240516,TD,13:02,13:56,-50.3,16.302,30,7.7,16
20240516,13,20240516,TD,13:02,13:56,-49.2,16.201,30,7.9,16
20240516,14,20240516,TD,13:02,13:56,-47.7,16.055,30,8,20
20240516,15,20240516,TD,13:02,13:56,-51.8,16.214,30,7.3,20
20240516,17,20240516,TD,13:02,13:56,-49.4,16.231,30,8,16
20240516,18,20240516,TD,13:02,13:56,-48.6,16.132,30,7.8,16
20240516,19,20240516,TD,13:02,13:56,-49,16.239,30,7.6,16
20240516,1,20240517,TD,16:00,16:30,-30.7,16.199,30,7.4,16
20240516,2,20240517,TD,16:00,16:30,-29.3,16.307,30,7.5,16
20240516,3,20240517,TD,16:00,16:30,-45.8,17.834,30,7.2,20
20240516,4,20240517,TD,16:00,16:30,-33.1,17.947,30,7.6,20
20240516,5,20240517,TD,16:00,16:30,-22.1,16.314,30,7.3,16
20240516,6,20240517,TD,16:00,16:30,-35.9,16.154,30,7.7,20
20240516,7,20240517,TD,16:00,16:30,-50.4,18.054,30,7.9,20
20240516,8,20240517,TD,16:00,16:30,-46.4,18.025,30,7.8,20
20240516,9,20240517,TD,16:00,16:30,-35.2,18.144,30,7.5,20
20240516,10,20240517,TD,16:00,16:30,-31.8,18.064,30,7.4,20
20240516,11,20240517,TD,16:00,16:30,-14.1,16.356,30,7.2,16
20240516,12,20240517,TD,16:00,16:30,-38.3,18.174,30,7.7,16
20240516,13,20240517,TD,16:00,16:30,-50,16.298,30,7.9,16
20240516,14,20240517,TD,16:00,16:30,-49.4,18.183,30,8,20
20240516,15,20240517,TD,16:00,16:30,-32.4,18.1,30,7.3,20
20240516,17,20240517,TD,16:00,16:30,-44.6,16.339,30,8,16
20240516,18,20240517,TD,16:00,16:30,-51.1,16.301,30,7.8,16
20240516,19,20240517,TD,16:00,16:30,-19,16.278,30,7.6,16
20240516,1,20240518,TD,13:00,14:00,-21.1,15.936,30,7.4,16
20240516,2,20240518,TD,13:00,14:00,-29.1,16.138,30,7.5,16
20240516,3,20240518,TD,13:00,14:00,-18.8,19.86,30,7.2,20
20240516,4,20240518,TD,13:00,14:00,-29.6,19.857,30,7.6,20
20240516,5,20240518,TD,13:00,14:00,-22.4,16.165,30,7.3,16
20240516,6,20240518,TD,13:00,14:00,-38.2,15.985,30,7.7,20
20240516,7,20240518,TD,13:00,14:00,-44.3,20.305,30,7.9,20
20240516,8,20240518,TD,13:00,14:00,-44,20.131,30,7.8,20
20240516,9,20240518,TD,13:00,14:00,-26.7,20.156,30,7.5,20
20240516,10,20240518,TD,13:00,14:00,-21.6,19.964,30,7.4,20
20240516,11,20240518,TD,13:00,14:00,-11,16.174,30,7.2,16
20240516,12,20240518,TD,13:00,14:00,-38.7,19.936,30,7.7,16
20240516,13,20240518,TD,13:00,14:00,-19.8,16.242,30,7.9,16
20240516,14,20240518,TD,13:00,14:00,-37.7,20.275,30,8,20
20240516,15,20240518,TD,13:00,14:00,-14.1,20.087,30,7.3,20
20240516,17,20240518,TD,13:00,14:00,-48.6,16.155,30,8,16
20240516,18,20240518,TD,13:00,14:00,-41.2,16.045,30,7.8,16
20240516,19,20240518,TD,13:00,14:00,-29.9,16.255,30,7.6,16
20240516,1,20240519,TD,15:40,16:20,-16.2,16.029,30,7.4,16
20240516,2,20240519,TD,15:40,16:20,-29.7,16.205,30,7.5,16
20240516,3,20240519,TD,15:40,16:20,-19,19.885,30,7.2,20
20240516,4,20240519,TD,15:40,16:20,-31.8,19.862,30,7.6,20
20240516,5,20240519,TD,15:40,16:20,-21.1,16.134,30,7.3,16
20240516,6,20240519,TD,15:40,16:20,-37.3,15.95,30,7.7,20
20240516,7,20240519,TD,15:40,16:20,-44.2,20.234,30,7.9,20
20240516,8,20240519,TD,15:40,16:20,-44.2,20.01,30,7.8,20
20240516,9,20240519,TD,15:40,16:20,-24.6,20.281,30,7.5,20
20240516,10,20240519,TD,15:40,16:20,-20.3,19.981,30,7.4,20
20240516,11,20240519,TD,15:40,16:20,-8.4,16.204,30,7.2,16
20240516,12,20240519,TD,15:40,16:20,-35.8,20.03,30,7.7,16
20240516,13,20240519,TD,15:40,16:20,-42.1,16.433,30,7.9,16
20240516,14,20240519,TD,15:40,16:20,-50.8,20.298,30,8,20
20240516,15,20240519,TD,15:40,16:20,-14.5,20.019,30,7.3,20
20240516,17,20240519,TD,15:40,16:20,-48.5,16.189,30,8,16
20240516,18,20240519,TD,15:40,16:20,-34.4,16.093,30,7.8,16
20240516,19,20240519,TD,15:40,16:20,-33.8,16.323,30,7.6,16
20240520,1,20240520,TD,15:00,15:50,-20.6,15.905,30,7.4,16
20240520,2,20240520,TD,15:00,15:50,-25.6,16.072,30,7.5,16
20240520,3,20240520,TD,15:00,15:50,-15.3,20.079,30,7.2,20
20240520,4,20240520,TD,15:00,15:50,-31.6,19.925,30,7.6,20
20240520,5,20240520,TD,15:00,15:50,-9.7,16.329,30,7.3,16
20240520,6,20240520,TD,15:00,15:50,-36.5,16.131,30,7.7,20
20240520,7,20240520,TD,15:00,15:50,-46,20.307,30,7.9,20
20240520,8,20240520,TD,15:00,15:50,-45.6,20.276,30,7.8,20
20240520,9,20240520,TD,15:00,15:50,-23.3,20.11,30,7.5,20
20240520,10,20240520,TD,15:00,15:50,-18.7,20.153,30,7.4,20
20240520,11,20240520,TD,15:00,15:50,2,16.219,30,7.2,16
20240520,12,20240520,TD,15:00,15:50,-37,20.142,30,7.7,16
20240520,13,20240520,TD,15:00,15:50,-43.3,16.655,30,7.9,16
20240520,14,20240520,TD,15:00,15:50,-49.8,20.493,30,8,20
20240520,15,20240520,TD,15:00,15:50,-9.5,20.161,30,7.3,20
20240520,17,20240520,TD,15:00,15:50,-47.9,16.178,30,8,16
20240520,18,20240520,TD,15:00,15:50,-35,16.514,30,7.8,16
20240520,19,20240520,TD,15:00,15:50,-31,16.507,30,7.6,16
20240520,1,20240521,TD,11:20,12:10,-20.8,15.8,30,7.4,16
20240520,2,20240521,TD,11:20,12:10,-25,16.2,30,7.5,16
20240520,3,20240521,TD,11:20,12:10,-10,19.6,30,7.2,20
20240520,4,20240521,TD,11:20,12:10,-30.1,19.7,30,7.6,20
20240520,5,20240521,TD,11:20,12:10,-7.6,16.2,30,7.3,16
20240520,6,20240521,TD,11:20,12:10,-35.9,16,30,7.7,20
20240520,7,20240521,TD,11:20,12:10,-43.9,19.8,30,7.9,20
20240520,8,20240521,TD,11:20,12:10,-43.5,19.7,30,7.8,20
20240520,9,20240521,TD,11:20,12:10,-20.5,19.9,30,7.5,20
20240520,10,20240521,TD,11:20,12:10,-18.2,20,30,7.4,20
20240520,11,20240521,TD,11:20,12:10,-15.5,16.3,30,7.2,16
20240520,12,20240521,TD,11:20,12:10,-36.8,20.1,30,7.7,16
20240520,13,20240521,TD,11:20,12:10,-41.5,16.6,30,7.9,16
20240520,14,20240521,TD,11:20,12:10,-55.7,19.7,30,8,20
20240520,15,20240521,TD,11:20,12:10,-18.5,20.1,30,7.3,20
20240520,17,20240521,TD,11:20,12:10,-51.5,16.3,30,8,16
20240520,18,20240521,TD,11:20,12:10,-34.6,16.3,30,7.8,16
20240520,19,20240521,TD,11:20,12:10,-28,16.1,30,7.6,16
20240520,1,20240522,TD,22:20,22:50,-19,15.8,30,7.4,16
20240520,2,20240522,TD,22:20,22:50,-25.2,15.8,30,7.5,16
20240520,3,20240522,TD,22:20,22:50,-10.1,20.1,30,7.2,20
20240520,4,20240522,TD,22:20,22:50,-30.9,20.1,30,7.6,20
20240520,5,20240522,TD,22:20,22:50,-16.6,16.2,30,7.3,16
20240520,6,20240522,TD,22:20,22:50,-33.6,16,30,7.7,20
20240520,7,20240522,TD,22:20,22:50,-48.7,20,30,7.9,20
20240520,8,20240522,TD,22:20,22:50,-44.1,20,30,7.8,20
20240520,9,20240522,TD,22:20,22:50,-28.9,20,30,7.5,20
